Temperature,H2,H2O,CO,CO2,CH2O,CH4,CH3OH,C2H2,CH3CHO,C2H4,C2H6,CH3COCH3,A1-C6H6,C5H6,A2-C10H8,A1OH-C6H6O,C5H4O2,C2H2O2,HAA-C2H4O2,XYLOSE-C5H8O,C11H12O4,C8H10O3,C2H5OH,HCOOH
1073.0,0.0,0.1587,0.16341,0.06278,0.05615,0.00935,0.07533,0.0,0.01248,0.07489,0.0,0.05292,0.0,0.0,0.0,0.03878,0.0,0.0,0.02027,0.0,0.18795,0.0,0.0,0.00913
1073.0,0.0,0.15127,0.18205,0.05857,0.05245,0.00877,0.08548,0.0,0.01174,0.06985,0.0,0.0495,0.0,0.0,0.0,0.04059,0.0,0.0,0.02384,0.0,0.17416,0.0,0.0,0.00855
1073.0,0.0,0.15147,0.18246,0.05859,0.05248,0.00879,0.08551,0.0,0.01183,0.06987,0.0,0.04962,0.0,0.0,0.0,0.04064,0.0,0.0,0.02389,0.0,0.17298,0.0,0.0,0.00858
1073.0,0.00019,0.07443,0.07931,0.09616,0.05994,0.00419,0.0469,0.0,0.01379,0.0207,0.0,0.06685,0.0,0.0,0.0,0.00232,0.0,0.02169,0.07541,0.06235,0.08317,0.0,0.00764,0.00798
1073.0,0.00016,0.07293,0.08577,0.09199,0.05239,0.00418,0.05321,0.0,0.01259,0.01864,0.0,0.0615,0.0,0.0,0.0,0.00228,0.0,0.01907,0.06832,0.07357,0.08937,0.0,0.00634,0.0076
1073.0,0.0002,0.21234,0.05328,0.08601,0.06032,0.00203,0.028,0.0,0.01103,0.02123,0.0,0.06353,0.0,0.0,0.0,0.00224,0.0,0.02262,0.07695,0.04865,0.0405,0.0,0.00827,0.00601
1073.0,0.00016,0.20061,0.06699,0.08208,0.05127,0.00357,0.0396,0.0,0.01179,0.01781,0.0,0.05758,0.0,0.0,0.0,0.00201,0.0,0.01862,0.06498,0.05594,0.07114,0.0,0.0065,0.00684
1073.0,0.00014,0.19431,0.07406,0.07973,0.04524,0.00363,0.04575,0.0,0.0109,0.01613,0.0,0.05332,0.0,0.0,0.0,0.00198,0.0,0.0165,0.05922,0.06475,0.07813,0.0,0.00545,0.0066
1073.0,0.00016,0.34064,0.04321,0.07148,0.05009,0.00158,0.02241,0.0,0.00902,0.01779,0.0,0.05306,0.0,0.0,0.0,0.00189,0.0,0.01889,0.06445,0.04286,0.03157,0.0,0.00686,0.00491
1073.0,0.00014,0.31636,0.05745,0.06995,0.0433,0.00307,0.03401,0.0,0.01004,0.01507,0.0,0.04891,0.0,0.0,0.0,0.00171,0.0,0.01574,0.05506,0.0487,0.06149,0.0,0.00546,0.00584
1073.0,0.00012,0.30767,0.06326,0.06839,0.03871,0.00311,0.03893,0.0,0.00932,0.01381,0.0,0.04574,0.0,0.0,0.0,0.0017,0.0,0.01415,0.05082,0.05612,0.06761,0.0,0.00465,0.00566
